"RcptCode","RcptNo","ROCode","RONo","RcptDate","RcptAmt","PayMode","ChqNo","BankName","Rmk"
$98.00,$1696.00,$226.00,$2280.00,28-10-2017 0:00:00,$894.00,"CHEQUE","002407","ICICI BANK","AFTER 5% DISCOUNT"
$99.00,$1697.00,$185.00,$2239.00,28-10-2017 0:00:00,$14125.00,"CHEQUE","044291","J&K BANK ","RO-2239 "
$101.00,$1699.00,$195.00,$2249.00,30-10-2017 0:00:00,$1800.00,"NEFT / RTGS","","","AFTER DISCOUNT"
$102.00,$1700.00,$228.00,$2282.00,1-11-2017 0:00:00,$3300.00,"CASH","","","AFTER 5% DISCOUNT"
$103.00,$1701.00,$204.00,$2258.00,8-11-2017 0:00:00,$259828.00,"NEFT / RTGS","---","----","IN KARNATAKA BANK LTD."
$104.00,$1702.00,$183.00,$2237.00,10-11-2017 0:00:00,$9416.00,"CHEQUE","000244","KOTAK MAHINDRA BANK",""
$105.00,$1703.00,$178.00,$2232.00,26-10-2017 0:00:00,$44648.00,"CHEQUE","814761","SYNDICATE BANK",""
$106.00,$1704.00,$231.00,$2285.00,10-11-2017 0:00:00,$470.00,"CASH","","",""
$108.00,$1706.00,$220.00,$2274.00,15-11-2017 0:00:00,$51065.05,"CHEQUE","000982","HDFC",""
$109.00,$1707.00,$242.00,$2296.00,15-11-2017 0:00:00,$2000.00,"CASH","","","MAKING CHARGES"
$110.00,$1708.00,$45.00,$2105.00,16-11-2017 0:00:00,$16480.00,"CHEQUE","619689","PNB",""
$111.00,$1709.00,$264.00,$2318.00,25-11-2017 0:00:00,$4000.00,"CASH","","","AFTER DISCOUNT"
$112.00,$1710.00,$212.00,$2266.00,30-11-2017 0:00:00,$23009.00,"CHEQUE","683601","PNB",""
$113.00,$1711.00,$269.00,$2323.00,28-11-2017 0:00:00,$315.00,"CASH","","",""
$114.00,$1712.00,$270.00,$2324.00,28-11-2017 0:00:00,$2568.00,"CASH","","",""
$115.00,$1713.00,$218.00,$2272.00,30-11-2017 0:00:00,$44646.00,"CHEQUE","023666","BANK OF BARODA",""
$116.00,$1714.00,$246.00,$2300.00,30-11-2017 0:00:00,$10500.00,"CHEQUE","","",""
$117.00,$1715.00,$247.00,$2301.00,1-12-2017 0:00:00,$2600.00,"CASH","","",""
$107.00,$1705.00,$191.00,$2245.00,14-11-2017 0:00:00,$23453.00,"NEFT / RTGS","---","---",""
$118.00,$1716.00,$271.00,$2325.00,2-12-2017 0:00:00,$1850.00,"CASH","","","AFTER DISCOUNT OF RS. 27.4"
$119.00,$1717.00,$272.00,$2326.00,4-12-2017 0:00:00,$1000.00,"NEFT / RTGS","","",""
$120.00,$1718.00,$272.00,$2326.00,5-12-2017 0:00:00,$36800.00,"NEFT / RTGS","","",""
$121.00,$1719.00,$248.00,$2302.00,21-11-2017 0:00:00,$890.00,"CASH","","","AFTER DISCOUNT"
$122.00,$1720.00,$285.00,$2339.00,9-12-2017 0:00:00,$9240.00,"CASH","","","AFTER DISCOUNT"
$123.00,$1721.00,$278.00,$2332.00,30-11-2017 0:00:00,$2549.00,"CASH","","",""
$124.00,$1722.00,$175.00,$2229.00,13-12-2017 0:00:00,$8240.00,"CASH","","",""
$125.00,$1723.00,$254.00,$2308.00,13-12-2017 0:00:00,$560.00,"CASH","","",""
$126.00,$1724.00,$309.00,$2363.00,14-12-2017 0:00:00,$4080.00,"CASH","","",""
$127.00,$1725.00,$306.00,$2360.00,5-12-2017 0:00:00,$100000.00,"NEFT / RTGS","","","SIRMAUR SOAP FACTORY"
$128.00,$1726.00,$313.00,$2367.00,15-12-2017 0:00:00,$100000.00,"NEFT / RTGS","","","SIRMAUR SOAP FACTORY"
$129.00,$1727.00,$256.00,$2310.00,15-12-2017 0:00:00,$43856.00,"NEFT / RTGS","","","RO- 2309, 2310"
$130.00,$1728.00,$243.00,$2297.00,17-12-2017 0:00:00,$51330.06,"CHEQUE","001026","HDFC BANK",""
$131.00,$1729.00,$291.00,$2345.00,16-12-2017 0:00:00,$6151.00,"NEFT / RTGS","","","AFTER  10 %  DISCOUNT"
$132.00,$1730.00,$232.00,$2286.00,18-12-2017 0:00:00,$42848.00,"CHEQUE","148150","SBI",""
$133.00,$1731.00,$233.00,$2287.00,18-12-2017 0:00:00,$27978.00,"CHEQUE","681138","PNB",""
$134.00,$1732.00,$284.00,$2338.00,20-12-2017 0:00:00,$2600.00,"CASH","","","AFTER 5% DISCOUNT."
$135.00,$1733.00,$229.00,$2283.00,14-12-2017 0:00:00,$23453.00,"","","",""
$136.00,$1734.00,$322.00,$2376.00,20-12-2017 0:00:00,$100000.00,"NEFT / RTGS","","",""
$100.00,$1698.00,$227.00,$2281.00,30-10-2017 0:00:00,$100000.00,"NEFT / RTGS","","","ADVANCE"
$137.00,$1735.00,$120.00,$2174.00,21-12-2017 0:00:00,$31222.00,"CHEQUE","910018","PNB","AFTER 10% DISCOUNT"
$138.00,$1736.00,$317.00,$2371.00,26-12-2017 0:00:00,$4083.00,"NEFT / RTGS","","",""
$139.00,$1737.00,$219.00,$2273.00,26-12-2017 0:00:00,$8240.00,"CASH","----","----",""
$140.00,$1738.00,$236.00,$2290.00,2-1-2018 0:00:00,$23009.00,"CHEQUE","220312","PNB",""
$141.00,$1739.00,$337.00,$2391.00,26-12-2017 0:00:00,$950.00,"CASH","","",""
$142.00,$1740.00,$240.00,$2294.00,23-12-2017 0:00:00,$44648.00,"CHEQUE","814583","SYNDICATE BANK ",""
$143.00,$1741.00,$343.00,$2397.00,28-12-2017 0:00:00,$300.00,"CASH","","","AFTER DISCOUNT - RS. 15/-"
$144.00,$1742.00,$207.00,$2261.00,30-12-2017 0:00:00,$28664.00,"NEFT / RTGS","--","----","AFTER LESS TDS"
$145.00,$1743.00,$330.00,$2384.00,26-12-2017 0:00:00,$23100.00,"NEFT / RTGS","","",""
$146.00,$1744.00,$214.00,$2268.00,1-1-2001 0:00:00,$13416.00,"CHEQUE","","SYNDICATE BANK",""
$147.00,$1745.00,$261.00,$2315.00,4-1-2018 0:00:00,$81803.00,"CHEQUE","","",""
$148.00,$1746.00,$327.00,$2381.00,5-1-2018 0:00:00,$7914.00,"NEFT / RTGS","","",""
$149.00,$1747.00,$357.00,$2411.00,5-1-2018 0:00:00,$2354.00,"CHEQUE","348994","KARNATATAKA BANK LTD.",""
$150.00,$1748.00,$356.00,$2410.00,6-1-2018 0:00:00,$25920.00,"CHEQUE","014451","DENA BANK","TOI ADVT DEAL PAYMENT."
$151.00,$1749.00,$359.00,$2413.00,6-1-2018 0:00:00,$938.00,"CASH","","",""
$152.00,$1750.00,$372.00,$2426.00,9-1-2018 0:00:00,$200000.00,"NEFT / RTGS","","KARNATAKA BANK LTD.","SIRMAUR SOAP FACTORY"
$153.00,$1751.00,$358.00,$2412.00,5-1-2018 0:00:00,$2000.00,"CASH","","",""
$154.00,$1752.00,$358.00,$2412.00,5-1-2018 0:00:00,$1150.00,"CASH","","",""
$155.00,$1753.00,$373.00,$2427.00,8-1-2018 0:00:00,$150.00,"CASH","","",""
$156.00,$1754.00,$376.00,$2430.00,11-1-2018 0:00:00,$3990.00,"CASH","CASH","CASH","AMAR UJALA & DAINIK JAGRAN ADVT"
$157.00,$1755.00,$338.00,$2392.00,13-1-2018 0:00:00,$4500.00,"CASH","","",""
$159.00,$1757.00,$293.00,$2347.00,16-1-2018 0:00:00,$3500.00,"CHEQUE","009215","PRATHAMA BANK",""
$158.00,$1756.00,$348.00,$2402.00,15-1-2018 0:00:00,$10476.00,"CHEQUE","000171","BANK OF BARODA","PAYMENT OF 3 ADVT"
$161.00,$1759.00,$344.00,$2398.00,17-1-2018 0:00:00,$7062.00,"CASH","","","CASH PAYMENT"
$162.00,$1760.00,$389.00,$2443.00,18-1-2018 0:00:00,$2400.00,"CASH","","","5% DICOUNT"
$163.00,$1761.00,$266.00,$2320.00,17-1-2018 0:00:00,$87713.00,"NEFT / RTGS","---","KARNATAKA BANK LTD.",""
$160.00,$1758.00,$276.00,$2330.00,15-1-2018 0:00:00,$19742.00,"NEFT / RTGS","----","KARNATAKA BANK LTD.","AFTER LESS TDS"
$164.00,$1762.00,$320.00,$2374.00,19-1-2018 0:00:00,$44500.00,"CHEQUE","284544","AXIS BANK",""
$165.00,$1763.00,$290.00,$2344.00,6-1-2018 0:00:00,$9416.00,"CHEQUE","341019","AXIS BANK",""
$166.00,$1764.00,$399.00,$2453.00,22-1-2018 0:00:00,$472.50,"CASH","--","---","--"
